Namespace(beam=5, cpu=False, criterion='cross_entropy', data=['PATH_YOUR_OUTPUT/preprocessed_iwslt14/iwslt14deen'], dataset_impl=None, decoding_iterations=1, decoding_strategy='mask_predict', dehyphenate=False, diverse_beam_groups=-1, diverse_beam_strength=0.5, dynamic_length=False, force_anneal=None, fp16=False, fp16_init_scale=128, fp16_scale_tolerance=0.0, fp16_scale_window=None, gen_subset='test', gold_target_len=False, left_pad_source='True', left_pad_target='False', length_beam=5, lenpen=1, log_format=None, log_interval=1000, lr_scheduler='fixed', lr_shrink=0.1, mask_range=False, match_source_len=False, max_len_a=0, max_len_b=200, max_sentences=20, max_source_positions=1024, max_target_positions=1024, max_tokens=None, memory_efficient_fp16=False, min_len=1, min_loss_scale=0.0001, model_overrides='{}', momentum=0.99, nbest=1, no_beamable_mm=False, no_early_stop=False, no_progress_bar=False, no_repeat_ngram_size=0, num_shards=1, num_workers=0, optimizer='nag', path='DE2EN/checkpoint_best.pt', prefix_size=0, print_alignment=False, quiet=False, raw_text=False, remove_bpe='@@ ', replace_unk=None, required_batch_size_multiple=8, results_path=None, sacrebleu=False, sampling=False, sampling_topk=-1, sampling_topp=-1.0, score_reference=False, seed=1, self_target=False, shard_id=0, skip_invalid_size_inputs_valid_test=False, source_lang=None, target_lang=None, task='translation_self', tbmf_wrapper=False, temperature=1.0, tensorboard_logdir='', threshold_loss_scale=None, unkpen=0, unnormalized=False, upsample_primary=1, user_dir=None, warmup_updates=0, weight_decay=0.0)
| [de] dictionary: 8848 types
| [en] dictionary: 6640 types
| PATH_YOUR_OUTPUT/preprocessed_iwslt14/iwslt14deen test 6750 examples
| ['PATH_YOUR_OUTPUT/preprocessed_iwslt14/iwslt14deen'] test 6750 examples
| loading model(s) from DE2EN/checkpoint_best.pt
S-1267	warum ?
T-1551	yes , so to speak .
H-1551	yeah , in a way .

S-2651	danke . danke !
T-2651	thank you . thank you .
H-2651	thank you . thank you .

S-4323	das war unglaublich .
T-4323	which was awesome .
H-4323	that was incredible .

S-6345	drei aus 10 .
T-6345	three times out of 10 .
H-6345	three out of 10 .

S-6641	stephen watt .
T-6641	this is stephen watt .
H-6641	stephen watts , .

S-4806	vielen dank euch .
T-4806	thank you very much , guys .
H-4806	thank you very much . thank you very much .

S-4334	auch kein krankenhaus .
T-4334	there &apos;s no hospital that can say &quot; no . &quot;
H-4334	no hospital either .

S-4835	stöbern sie .
T-4835	explore .
H-4835	adarbor them .

S-217	haben sie vielen dank .
T-217	thanks so much .
H-217	thank you very much .

S-1008	das war &apos; s .
T-1008	that was all .
H-1008	that &apos;s it . that &apos;s it . that &apos;s it .

S-1452	völlig ineffizient .
T-1452	totally inefficient .
H-1452	completely inefficient

S-1466	wunderbar , &apos; ne ?
T-1466	wonderful , right ?
H-1466	wonderful , &apos; ne ?

S-1467	das ist effizient .
T-1467	that &apos;s efficient .
H-1467	that &apos;s efficient .

S-1874	da passiert überhaupt nichts .
T-1874	nothing will happen .
H-1874	there &apos;s nothing going on at all .

S-2095	was für ein fisch .
T-2095	what a fish .
H-2095	what a fish .

S-2110	nicht sehr nachhaltig .
T-2110	not very sustainable .
H-2110	not very sustainable .

S-2142	das bin ich sogar .
T-2142	i actually am .
H-2142	that &apos;s actually me .

S-2468	ungeheuer aufregend .
T-2468	tremendously exciting .
H-2468	incredibly exciting .

S-3222	sehr unterschiedlicher begriff .
T-3222	very different notion .
H-3222	very different term .

S-3814	sie sind alle wichtig .
T-3814	they all matter .
H-3814	they &apos;re all important .

S-3874	sondern essentiell .
T-3874	play &apos;s essential .
H-3874	it &apos;s essential .

S-5516	also treffen sie al .
T-5516	so meet al .
H-5516	so they &apos;re meeting al .

S-6449	und sie tat es .
T-6449	and they did .
H-6449	and she did

S-396	danke ihnen vielmals .
T-396	thank you very much .
H-396	thank you very much .

S-540	dies war das ergebnis .
T-540	this was the result .
H-540	this was the result .

S-713	mache einfach deinen job .
T-713	just do your job .
H-713	just do your job .

S-858	gute arbeit ! ja !
T-858	good job ! yeah !
H-858	good work . yes !

S-887	ja , guten tag .
T-887	yes , hello .
H-887	yeah , good day .

S-1063	die haben ähnliche prinzipien .
T-1063	they have similar principles .
H-1063	they have similar principles .

S-1237	das ist unsere gegenwart .
T-1237	that &apos;s our present .
H-1237	that &apos;s our present .

S-1243	ja , millisekunden .
T-1243	yes , milliseconds .
H-1243	yes milliseconds .

S-1472	die ganze umweltdiskussion .
T-1472	the whole environmental discussion .
H-1472	the whole environmental discussion .

S-1488	was sagen sie dann ?
T-1488	what would you say ?
H-1488	what do you say ?

S-1553	das können wir machen .
T-1553	we can do that .
H-1553	we can do that that .

S-1593	das alles interessiert mich .
T-1593	all that interests me .
H-1593	i &apos;m all interested in that .

S-1654	lento , langsam .
T-1654	lento , slow .
H-1654	lento , slowly slowly .

S-1902	ja , guten tag .
T-1902	yes , hello .
H-1902	yeah , good day .

S-1966	das geht doch schon .
T-1966	that is doable .
H-1966	that &apos;s already on .

S-2016	das ist das system .
T-2016	that &apos;s the system .
H-2016	this is the system .

S-2088	robert gupta .
T-2088	robert gupta .
H-2088	robert gupta .

S-2168	was haben sie gemacht ?
T-2168	what did they do ?
H-2168	what did they do ?

S-2174	die farm ist unglaublich .
T-2174	the farm &apos;s incredible .
H-2174	the farm is incredible .

S-2258	darf ich ehrlich sein ?
T-2258	can i be honest ?
H-2258	can i be honest ?

S-2445	das war faszinierend .
T-2445	and this was fascinating .
H-2445	that was fascinating .

S-2624	das ist super wichtig .
T-2624	that &apos;s super important .
H-2624	that &apos;s great .

S-2742	es ist eine krise .
T-2742	it &apos;s a crisis .
H-2742	it &apos;s a crisis crisis .

S-2743	klingt vertraut , was ?
T-2743	sound familiar ? right .
H-2743	sounds familiar , what ?

S-2766	was war das ergebnis ?
T-2766	what was the result ?
H-2766	what was the result ?

S-2880	aber wissen sie was ?
T-2880	but you know what ?
H-2880	but you know what ?

S-2903	ziemlich gut , nicht ?
T-2903	pretty good , right ?
H-2903	pretty good , right ?

S-3098	ja , ich weiß .
T-3098	yeah , i know .
H-3098	yeah , i know .

S-3564	es gibt kein normal .
T-3564	there &apos;s no normal .
H-3564	there &apos;s no normal .

S-3578	oh , also der .
T-3578	oh , that guy .
H-3578	oh , so that .

S-3629	das ist sehr gut .
T-3629	that &apos;s very good .
H-3629	that &apos;s very good .

S-3631	schon ein paar mehr .
T-3631	quite a few more .
H-3631	a few more .

S-3680	er öffnet die tür .
T-3680	he answers the door .
H-3680	he opens the door .

S-3737	warum nicht länger leben ?
T-3737	why not live longer ?
H-3737	why no longer ?

S-3776	es hat sensoren --
T-3776	it has sensors .
H-3776	it has sensors .

S-4217	hier ist das video .
T-4217	here is the video .
H-4217	here &apos;s the video .

S-4411	man konnte manhattan sehen .
T-4411	you could see manhattan .
H-4411	you could see manhattan .

S-4492	sie wussten also alles .
T-4492	so they know everything .
H-4492	so they knew everything .

S-4552	es ist generisch .
T-4552	it is generic .
H-4552	it &apos;s generic .

S-4636	ich war erstaunt .
T-4636	i was amazed .
H-4636	i was amazed .

S-4685	ban ist blank .
T-4685	ban is blank .
H-4685	ban is blank .

S-5152	aber wissen sie was ?
T-5152	but you know what ?
H-5152	but you know what ?

S-5220	was ist hier passiert ?
T-5220	so what happened here ?
H-5220	what &apos;s going to happen here ?

S-5321	zentren wurden aufgebaut .
T-5321	centers were established .
H-5321	centers have been built .

S-5384	ich weiß es nicht .
T-5384	i don &apos;t know .
H-5384	i don &apos;t know .

S-5553	und das ist wichtig .
T-5553	and that &apos;s important .
H-5553	and that &apos;s important .

S-5783	bewerte sie wieder .
T-5783	score them again .
H-5783	evaluate them again .

S-6334	hey , warum nicht ?
T-6334	hey , why not ?
H-6334	hey , why not ?

S-6361	1.000 , sehr gut .
T-6361	1,000 , very good .
H-6361	1,000 , very good .

S-6545	was ist hier passiert ?
T-6545	so what happens here ?
H-6545	what &apos;s going to happen here ?

S-6636	diese leute verdienen geld .
T-6636	these guys make money .
H-6636	these people make money .

S-241	diese tage sind vorbei .
T-241	and those days are gone .
H-241	those days are over .

S-629	können wir es ändern ?
T-629	can we do this differently ?
H-629	can we change it ?

S-807	dies ist die letzte .
T-807	this is the last one .
H-807	this is the last one .

S-863	fliegende katze .
T-863	fly away , cat .
H-863	flying cat .

S-1043	ja , das geht .
T-1043	yes , that &apos;s possible .
H-1043	yeah , that &apos;s going on .

S-1046	was sind heute medien ?
T-1046	what is the media today ?
H-1046	what is media today ?

S-1401	wir können es anders .
T-1401	we can do it differently .
H-1401	we can do it differently .

S-1435	und der muss zurück .
T-1435	and it must go back .
H-1435	and it has to go back .

S-1484	nicht schuldmanagement .
T-1484	not guilt management .
H-1484	not school management .

S-2115	nennen wir ihn don .
T-2115	let &apos;s call him don .
H-2115	let &apos;s call it don .

S-2352	und ich war künstler .
T-2352	and i was an artist .
H-2352	and i was an artist .

S-2635	das ist ein wunsch .
T-2635	so this is a wish .
H-2635	that is a wish .

S-2716	bg : danke .
T-2716	bg : thank you .
H-2716	bg : thank you very much .

S-2889	passiert nicht sehr oft .
T-2889	doesn &apos;t happen very much .
H-2889	it doesn &apos;t happen very often .

S-2973	warum tun wir das ?
T-2973	why do we do that ?
H-2973	why do we do that ?

S-2983	sie ist kein land .
T-2983	it &apos;s not a country .
H-2983	it &apos;s not a country .

S-3005	denn wissen sie was ?
T-3005	because , you know something ?
H-3005	because you know what ?

S-3162	woher wissen wir das ?
T-3162	how do we know that ?
H-3162	how do we know that ?

S-3763	es ist also wahr .
T-3763	so this is for real .
H-3763	so it &apos;s true .

S-4010	wohin gehen wir also ?
T-4010	so where do we go ?
H-4010	so where do we go ?

S-4256	sie können hineingehen .
T-4256	you can enter inside it .
H-4256	you can go into it .

S-4563	ich habe eine frage .
T-4563	i &apos;ve got a question .
H-4563	i have a question .

S-4644	das wäre okay gewesen .
T-4644	this would have been fine .
H-4644	that would have been okay .

S-5181	wie interessiert sie sind .
T-5181	how engaged you are .
H-5181	how interested as you are .

S-5205	wie funktioniert das also ?
T-5205	so how does it happen ?
H-5205	so how does that work ?

S-5630	sie benutzen ihre hände .
T-5630	they &apos;re using their hands .
H-5630	they &apos;re using their hands .

S-5978	ich finde das interessant .
T-5978	it &apos;s interesting to me .
H-5978	i think that &apos;s interesting .

S-6032	ich dachte darüber nach .
T-6032	and i thought about that .
H-6032	i thought about it .

S-6094	ich glaube das nicht .
T-6094	i don &apos;t believe that .
H-6094	i don &apos;t think so .

S-6300	was brauchen diese menschen ?
T-6300	what will these people want ?
H-6300	what do these people need ?

S-6358	irgendwie funktioniert das nicht .
T-6358	somehow this isn &apos;t working .
H-6358	somehow , it doesn &apos;t work .

S-871	also schauen wir mal .
T-871	so let &apos;s have a look .
H-871	so let &apos;s see .

S-2206	sie schlemmen . &quot;
T-2206	they &apos;re feasting . &quot;
H-2206	they &apos;re dragging . they &apos;re dragging . &quot;

S-3331	also schaffen sie das .
T-3331	so , you can do it .
H-3331	so they &apos;re going to do that .

S-3378	spieler sitzen nicht herum .
T-3378	gamers don &apos;t sit around .
H-3378	players don &apos;t sitting around .

S-4297	ich stand ihm gegenüber .
T-4297	i was exposed to him .
H-4297	i was faced with him .

S-5509	okay . vielen dank .
T-5509	okay . thank you very much .
H-5509	okay . thank you very much .

S-6245	hier ist ein beispiel .
T-6245	let me give you an example .
H-6245	here &apos;s an example .

S-6416	sie war also zurück .
T-6416	well she was back all right .
H-6416	so she was back .

S-6450	und ich arbeitete weiter .
T-6450	and i went back to work .
H-6450	and i kept working .

S-6627	das passiert uns heute .
T-6627	this is happening to us today .
H-6627	this is what happens to us today .

S-257	was wollen sie tun ?
T-257	what do you want to do ? &quot;
H-257	what do you want to ?

S-1354	will ich ihnen sagen .
T-1354	i &apos;d like to tell you why .
H-1354	i want to tell you .

S-5501	oh . einen moment .
T-5501	huh . hang on a moment .
H-5501	oh . moment .

S-1143	warum passiert das überhaupt ?
T-1143	why does this happen in the first place ?
H-1143	why is this ?

S-2544	wir brauchen energiewunder .
T-2544	and so , we need energy miracles .
H-2544	we need energy wonder .

S-5664	es gibt zwei möglichkeiten :
T-5664	one of two things is going to happen .
H-5664	there are two ways .

S-5857	ich gehe hier rein .
T-5857	so i &apos;m just going to enter in .
H-5857	i &apos;m going to go in here .

S-6013	oder vor bomben .
T-6013	they had to worry about being bombed .
H-6013	or in front of bombs .

S-6407	aber ich arbeitete weiter .
T-6407	but i carried on with my work .
H-6407	but i kept working .

S-1519	nicht giftiges drin .
T-1519	there &apos;s nothing poisonous in it .
H-1519	not toxic .

S-1842	sie sehen es sofort .
T-1842	the first two theorems are logically correct .
H-1842	you see it immediately .

S-3490	dankeschön .
T-3490	thank you .
H-3490	thank you . thank you . thank you .

S-381	sie tun sogar weh .
T-381	they actually hurt .
H-381	in fact , they hurts .

S-480	warum sollten wir das tun ?
T-480	why do this ?
H-480	why should we do that ?

S-1007	vielen dank fürs zuhören .
T-1007	thanks for listening .
H-1007	thank you very much for listening .

S-1129	das wird er nicht machen .
T-1129	it won &apos;t .
H-1129	he &apos;s not going to do that .

S-1659	ich wundere mich .
T-1659	i &apos;m surprised .
H-1659	i wonder wonder .

S-3805	ich schwöre es .
T-3805	i swear .
H-3805	i swear it .

S-4437	es fühlt sich großartig an .
T-4437	it feels great .
H-4437	it feels great .

S-5984	ich vertrete kinder .
T-5984	i represent children .
H-5984	i &apos;m representing children .

S-326	hier ist ein weiteres beispiel .
T-326	here &apos;s another example .
H-326	here &apos;s another example .

S-552	ich bin schriftstellerin .
T-552	i am a writer .
H-552	i &apos;m a writer .

S-1391	ist das nicht traurig ?
T-1391	isn &apos;t that sad ?
H-1391	isn &apos;t that sad ?

S-1476	aber die falschen dinge .
T-1476	but the wrong things .
H-1476	but the wrong things .

S-1735	es ist gegen die gerechtigkeit .
T-1735	it goes against justice .
H-1735	it &apos;s against the justice .

S-2199	es gibt kein futter .
T-2199	there is no feed .
H-2199	there &apos;s no food .

S-2469	eine ungeheure herausforderung .
T-2469	tremendously challenging .
H-2469	it &apos;s a huge challenge .

S-2800	und das verstehe ich .
T-2800	and i understand that .
H-2800	and that &apos;s what i understand .

S-2848	die leute spielten verrückt .
T-2848	people were going crazy .
H-2848	people were playing crazy .

S-2876	die daten kamen herein .
T-2876	the data came back .
H-2876	the data came in .

S-3131	aber das hatte es nicht .
T-3131	but it hadn &apos;t .
H-3131	but it didn &apos;t .

S-3655	vielleicht 10 mal soviele .
T-3655	maybe 10 times more .
H-3655	maybe 10 times .

S-3819	seien sie ein mentor .
T-3819	be a mentor .
H-3819	be a mentor .

S-4109	ich danke ihnen vielmals .
T-4109	thank you very much .
H-4109	thank you very much .

S-4279	hier sehen sie es nun .
T-4279	so here it is .
H-4279	so here you see it .

